id_cliente;nombre_cliente;apellido_cliente;correo_cliente;direccion_ip_cliente;categoria_articulo;codigo_articulo;ciudad_cliente;fecha
70-758;Adolphe;Potten;apottenjo@sakura.ne.jp;150.231.46.23;D;68;Nueva York;27/02/2018
84-644;Ky;Thursfield;kthursfieldit@spotify.com;0.84.183.209;A;39;San Diego;1/02/2018
44-686;Adams;Faers;afaers8t@nationalgeographic.com;29.182.78.155;D;76;Los Angeles;3/02/2018
43-626;Hersch;Dillingstone;hdillingstonebr@uiuc.edu;46.65.93.222;C;69;Phoenix;7/02/2018
37-033;Megen;Welbourn;mwelbourn9r@mtv.com;77.253.131.15;A;27;Houston;14/02/2018
95-464;Trumaine;Standeven;tstandevendr@youtu.be;159.29.176.135;D;43;Miami;17/02/2018
43-773;Jarrod;Woolsey;jwoolsey45@usda.gov;171.33.27.204;B;94;Los Angeles;24/02/2018
18-632;Murvyn;Nudd;mnuddkt@twitter.com;4.175.50.224;B;127;Miami;10/02/2018
47-089;Cassie;Orris;corris5s@discuz.net;184.35.26.103;A;81;Miami;16/02/2018
18-841;Rey;Ghidotti;rghidotti9m@tinyurl.com;46.92.10.136;A;148;Houston;13/02/2018
49-250;Tait;Atger;tatgerje@berkeley.edu;229.151.72.175;B;96;Miami;2/02/2018
06-644;Jennette;Deval;jdeval9v@free.fr;64.245.222.35;B;127;Los Angeles;11/02/2018
65-813;Kirby;Barclay;kbarclaynb@arstechnica.com;94.115.98.176;B;97;San Diego;3/02/2018
27-852;Melly;Story;mstorynp@drupal.org;119.221.29.24;B;132;Seattle;12/02/2018
33-613;Julio;Worley;jworleyb6@xinhuanet.com;16.115.164.193;A;96;Miami;17/02/2018
96-787;Georges;Hawthorn;ghawthorno6@princeton.edu;54.157.9.243;B;50;Los Angeles;15/02/2018
85-907;Shepard;Whyke;swhyke4q@upenn.edu;28.231.62.131;B;57;Los Angeles;22/02/2018
55-413;Simona;Farriar;sfarriarmp@aboutads.info;108.29.197.138;A;108;Phoenix;14/02/2018
82-643;Malynda;Shackleton;mshackletonat@google.pl;171.151.85.177;C;21;Nueva York;27/02/2018
32-968;Reine;Kindley;rkindley16@cam.ac.uk;224.62.104.237;B;50;Los Angeles;9/02/2018
32-957;Cammie;Penberthy;cpenberthy6i@altervista.org;204.112.46.14;C;101;Houston;25/02/2018
51-750;Nara;Demetr;ndemetrnk@cnbc.com;122.212.31.152;B;8;Nueva York;12/02/2018
74-669;Aguste;Frake;afrakea2@cbslocal.com;36.30.24.234;B;17;Dallas;14/02/2018
38-249;La verne;Fauning;lfauning4i@fc2.com;21.42.93.72;D;133;Orlando;1/02/2018
59-488;Tarra;Yalden;tyalden28@sogou.com;68.236.236.157;D;138;Orlando;4/02/2018
47-827;Ardra;Scrigmour;ascrigmoureb@ucoz.ru;178.131.148.41;D;125;Altanta;19/02/2018
29-588;Lindi;Moffatt;lmoffatteo@twitter.com;81.61.20.0;D;71;Phoenix;27/02/2018
22-579;Toni;Geale;tgeale8f@nature.com;205.190.85.212;B;36;Orlando;9/02/2018
06-829;Richmond;Pendock;rpendock2o@disqus.com;60.8.100.216;B;48;San Fransisco;10/02/2018
65-566;Ivonne;Yakov;iyakov2q@elpais.com;107.1.129.246;D;67;Chicago;26/02/2018
59-811;Shannon;Ovell;sovellkd@blogtalkradio.com;69.10.151.71;A;2;Dallas;21/02/2018
50-942;Catlee;Jervois;cjervois5j@unblog.fr;173.188.7.102;C;59;Denver;1/02/2018
43-729;Gus;Joist;gjoistms@umich.edu;157.56.218.38;A;37;Denver;2/02/2018
10-161;Gleda;Seligson;gseligsonap@drupal.org;152.146.255.226;D;1;Chicago;11/02/2018
94-530;Enid;Muscat;emuscatqc@addtoany.com;198.140.213.184;D;85;Chicago;8/02/2018
14-471;Ario;Kubacek;akubaceki@google.fr;62.233.157.120;B;52;Houston;3/02/2018
05-528;Davida;Corner;dcornerr2@tiny.cc;239.220.102.148;A;103;Altanta;10/02/2018
34-626;Georgie;Brecher;gbrecher24@hexun.com;109.185.5.229;C;96;Altanta;5/02/2018
82-810;Vinni;Wardesworth;vwardesworth4s@quantcast.com;63.132.114.212;B;78;Chicago;2/02/2018
03-817;Eberhard;Van de Velde;evandeveldemx@about.me;101.99.255.178;C;60;Orlando;12/02/2018
34-621;Livvyy;Scatcher;lscatcher7v@ustream.tv;130.46.71.179;C;24;Orlando;2/02/2018
11-872;Esta;Lines;elinesjg@ustream.tv;3.128.240.85;D;18;San Fransisco;3/02/2018
61-843;Hyacintha;Mayes;hmayesk8@amazon.de;183.9.207.231;D;35;Dallas;5/02/2018
30-570;Bernie;Heather;bheathera3@google.co.uk;70.198.149.96;C;14;Altanta;8/02/2018
23-254;Cheri;Entres;centresv@weibo.com;125.8.86.58;B;29;Los Angeles;1/02/2018
26-468;Hedy;Hansard;hhansard8z@live.com;161.25.21.60;C;63;Seattle;7/02/2018
22-291;Tish;Escalante;tescalantep9@dagondesign.com;46.78.182.176;B;106;Houston;3/02/2018
48-977;Sorcha;Biggadike;sbiggadike9g@woothemes.com;26.246.56.236;B;19;Orlando;6/02/2018
59-006;Jorrie;Thrasher;jthrashera1@vkontakte.ru;40.115.224.114;C;43;Chicago;2/02/2018
66-251;Shirley;O'Day;sodayk5@sina.com.cn;41.155.202.214;D;122;Altanta;2/02/2018
74-221;Hamnet;Dionisi;hdionisi7j@vk.com;215.121.210.167;B;13;Los Angeles;8/02/2018
03-241;Malva;Loffel;mloffelao@shareasale.com;130.179.192.92;A;35;Houston;23/02/2018
71-904;Kalli;Stapforth;kstapforth5@cornell.edu;126.220.232.63;C;11;Nueva York;9/02/2018
56-677;Celestyn;Perrigo;cperrigo6u@nature.com;194.126.183.209;D;5;San Diego;13/02/2018
87-176;Darice;Matiashvili;dmatiashvilion@statcounter.com;111.125.30.171;C;70;Nueva York;16/02/2018
87-310;Miles;Tytherton;mtythertonoc@goo.ne.jp;114.80.117.184;A;99;Denver;10/02/2018
